Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades
1.13,-215.36,-8.6144,0.49851,-0.558738,-5,7.6345,25
1.12,-702.63,-28.1052,0.437423,-0.781864,-5,17.4482,25
1.06,71.33,3.5665,1.285754,0.268936,1.98663,5.1402,20
1.01,1361.84,68.092,1.716388,0.602784,2.493784,39.2503,20
0.94,-1374.73,-54.9892,0.519396,-0.809136,-5,31.9106,25
0.81,241.74,14.22,1.993098,1.093945,7.202873,4.1667,17
0.78,-1566.14,-65.255833,0.698404,-0.416948,-2.796312,65.3027,24
0.78,-169.6,-8.07619,0.494561,-0.600673,-5,5.5445,21
0.77,-209.92,-9.126957,0.554424,-0.59895,-5,6.876,23
0.77,-465.72,-20.248696,0.275392,-0.949596,-5,9.7605,23
0.71,254.42,14.965882,1.52475,0.709956,3.445416,6.8037,17
0.69,-105.44,-5.272,0.721441,-0.440729,-5,4.6601,20
0.67,1090.15,64.126471,1.918152,1.208512,11.409375,14.8923,17
0.67,-168.82,-8.441,0.825489,-0.201846,-3.923079,15.3772,20
0.57,-2425.3,-78.235484,0.334093,-0.876142,-5,51.8105,31
0.52,-158.94,-7.568571,0.678493,-0.331899,-3.952347,9.3966,21
0.52,92.88,5.805,1.328802,0.435566,3.00605,4.1151,16
0.52,-273.16,-13.007619,0.520486,-0.664574,-5,8.0519,21
0.5,164.57,10.971333,1.597915,0.737916,2.9999,4.3998,15
0.48,7.35,0.408333,1.023783,0.037367,0.247623,3.8747,18
0.47,-1552.4,-64.683333,0.603929,-0.6068,-5,47.0394,24
0.46,-240.16,-13.342222,0.527095,-0.51634,-2.63303,9.2618,18
0.42,-260.02,-13.001,0.572631,-0.448519,-5,10.9614,20
0.41,-241.46,-12.708421,0.404449,-0.862203,-5,5.5808,19
0.4,-462.97,-25.720556,0.588574,-0.484142,-3.647584,18.3169,18
0.4,-61.36,-3.609412,0.807583,-0.186891,-1.755687,6.3974,17
0.39,-8.27,-0.459444,0.986353,-0.024974,-0.136695,6.4404,18
0.39,-962.87,-35.661852,0.818641,-0.232892,-4.697607,52.7141,27
0.36,-3343.16,-167.158,0.281801,-0.635894,-5,87.4806,20
